step,time,ResidMax,ResidRMS,DilMax,IntDiv,IntAbsDiv,dt
289,2.80972222,0.18103394,0.07407231,2.66996977,-0.20055001,0.21004150,0.00972222
290,2.81944444,0.17979795,0.07373635,2.67025366,-0.20055340,0.21000936,0.00972222
291,2.82916667,0.17854233,0.07340392,2.67059122,-0.20055663,0.20997493,0.00972222
292,2.83888889,0.17732330,0.07307498,2.67098027,-0.20055971,0.20993802,0.00972222
293,2.84861111,0.17611168,0.07274949,2.67141861,-0.20056265,0.20989932,0.00972222
294,2.85833333,0.17488190,0.07242742,2.67190399,-0.20056544,0.20985816,0.00972222
295,2.86805556,0.17367454,0.07210871,2.67243416,-0.20056809,0.20981508,0.00972222
296,2.87777778,0.17248852,0.07179334,2.67300688,-0.20057060,0.20977074,0.00972222
297,2.88750000,0.17128583,0.07148127,2.67361986,-0.20057299,0.20972438,0.00972222
298,2.89722222,0.17008980,0.07117244,2.67427085,-0.20057524,0.20967551,0.00972222
299,2.90694444,0.16893055,0.07086682,2.67495758,-0.20057737,0.20962452,0.00972222
300,2.91666667,0.16775608,0.07056437,2.67567779,-0.20057938,0.20957136,0.00972222
301,2.92638889,0.16657091,0.07026504,2.67642924,-0.20058127,0.20951566,0.00972222
302,2.93611111,0.16543949,0.06996881,2.67720972,-0.20058305,0.20945823,0.00972222
303,2.94583333,0.16429427,0.06967562,2.67801701,-0.20058472,0.20940055,0.00972222
304,2.95555556,0.16313662,0.06938545,2.67884895,-0.20058627,0.20934122,0.00972222
305,2.96527778,0.16201675,0.06909825,2.67970340,-0.20058772,0.20928007,0.00972222
